symbol,number,covalent_radius,number_of_valence_electrons,FirstIonization,dipole_polarizability,Density,Period,Group,Electronegativity
H,1,32,1,1312,4.50711,8.99E-05,1,1,2.2
He,2,46,0,2372.3,1.38375,1.79E-04,1,18,
Li,3,133,1,520.2,164.1125,5.34E-01,2,1,0.98
Be,4,102,2,899.5,37.74,1.85E+00,2,2,1.57
B,5,85,3,800.6,20.5,2.34E+00,2,13,2.04
C,6,75,4,1086.5,11.3,2.27E+00,2,14,2.55
N,7,71,5,1402.3,7.4,1.25E-03,2,15,3.04
O,8,63,6,1313.9,5.3,1.43E-03,2,16,3.44
F,9,64,7,1681,3.74,1.70E-03,2,17,3.98
Ne,10,67,0,2080.7,2.6611,9.00E-04,2,18,
Na,11,155,1,495.8,162.7,9.71E-01,3,1,0.93
Mg,12,139,2,737.7,71.2,1.74E+00,3,2,1.31
Al,13,126,3,577.5,57.8,2.70E+00,3,13,1.61
Si,14,116,4,786.5,37.3,2.33E+00,3,14,1.9
P,15,111,5,1011.8,25,1.82E+00,3,15,2.19
S,16,103,6,999.6,19.4,2.07E+00,3,16,2.58
Cl,17,99,7,1251.2,14.6,3.21E-03,3,17,3.16
Ar,18,96,0,1520.6,11.083,1.78E-03,3,18,
K,19,196,1,418.8,289.7,8.62E-01,4,1,0.82
Ca,20,171,2,589.8,160.8,1.54E+00,4,2,1
Sc,21,148,3,633.1,97,2.99E+00,4,3,1.36
Ti,22,136,4,658.8,100,4.54E+00,4,4,1.54
V,23,134,5,650.9,87,6.11E+00,4,5,1.63
Cr,24,122,6,652.9,83,7.15E+00,4,6,1.66
Mn,25,119,7,717.3,68,7.44E+00,4,7,1.55
Fe,26,116,8,762.5,62,7.87E+00,4,8,1.83
Co,27,111,9,760.4,55,8.86E+00,4,9,1.88
Ni,28,110,10,737.1,49,8.91E+00,4,10,1.91
Cu,29,112,11,745.5,46.5,8.96E+00,4,11,1.9
Zn,30,118,12,906.4,38.67,7.13E+00,4,12,1.65
Ga,31,124,3,578.8,50,5.91E+00,4,13,1.81
Ge,32,121,4,762,40,5.32E+00,4,14,2.01
As,33,121,5,947,30,5.78E+00,4,15,2.18
Se,34,116,6,941,28.9,4.81E+00,4,16,2.55
Br,35,114,7,1139.9,21,3.12E+00,4,17,2.96
Kr,36,117,0,1350.8,16.78,3.73E-03,4,18,
Rb,37,210,1,403,319.8,1.53E+00,5,1,0.82
Sr,38,185,2,549.5,197.2,2.64E+00,5,2,0.95
Y,39,163,3,600,162,4.47E+00,5,3,1.22
Zr,40,154,4,640.1,112,6.51E+00,5,4,1.33
